ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,order_value_INR,delivery_time_minutes,status,distance_km,_approx_place,place_type
ORD0016,DP0328,35,3.3,28.609362,77.01008,28.696547,77.105671,2025-08-03,22:48:25,283.0,58.0,Delivered,13.453,Delhi,Metro
ORD0017,DP0205,33,5.0,28.857104,76.866822,28.840838,76.774213,2024-12-24,22:39:27,207.0,25.0,Delivered,9.199,Delhi,Metro
ORD0018,DP0304,27,4.8,28.847267,77.275932,28.979144,77.297207,2024-11-10,14:55:56,523.0,55.0,Delivered,14.81,Delhi,Metro
ORD0019,DP0031,39,4.7,28.434664,77.278581,28.419126,77.229459,2025-06-15,19:22:16,222.0,30.0,Delivered,5.105,Delhi,Metro
ORD0020,DP0192,36,3.9,13.113898,80.184762,12.992676,80.135456,2024-03-17,21:54:41,156.0,76.0,Delivered,14.499,Chennai,Metro
ORD0021,DP0366,27,4.5,22.88742,88.350031,22.944462,88.460991,2024-09-29,07:38:17,1172.0,46.0,Delivered,13.015,Kolkata,Metro
ORD0022,DP0136,35,4.7,22.454702,88.159523,22.551621,88.10572,2025-10-06,21:17:19,359.0,,Cancelled,12.112,Kolkata,Metro
ORD0023,DP0272,24,4.5,19.366414,73.154011,19.292698,73.091693,2025-04-22,22:56:52,440.0,43.0,Delivered,10.485,Mumbai,Metro
ORD0024,DP0396,35,4.2,28.96004,77.017545,28.962814,77.022118,2024-09-29,18:26:33,155.0,20.0,Delivered,0.541,Delhi,Metro
ORD0025,DP0047,26,4.8,18.419742,73.914973,18.448587,73.783829,2025-06-04,10:12:21,287.0,,Cancelled,14.201,Pune,Metro
ORD0026,DP0288,35,4.1,12.800049,77.763101,12.803672,77.741072,2024-12-04,22:52:28,454.0,15.0,Delivered,2.422,Bengaluru,Metro
ORD0027,DP0340,42,4.0,17.388199,78.233206,17.510315,78.217902,2024-08-17,23:33:12,188.0,53.0,Delivered,13.675,Hyderabad,Metro
ORD0028,DP0344,31,5.0,22.28194,88.478581,22.337819,88.370197,2024-10-01,11:58:43,546.0,46.0,Delivered,12.764,Kolkata,Metro
ORD0029,DP0053,35,3.5,18.923914,72.933195,18.92703,72.873237,2024-04-14,18:44:00,276.0,25.0,Delivered,6.316,Mumbai,Metro
ORD0030,DP0249,34,4.7,28.473672,76.817959,28.470298,76.857354,2024-07-30,12:22:44,342.0,21.0,Delivered,3.869,Delhi,Metro
ORD0031,DP0151,30,3.9,22.773408,88.439988,22.872916,88.418099,2024-03-22,13:10:43,276.0,41.0,Delivered,11.29,Kolkata,Metro
ORD0032,DP0316,25,5.0,28.525001,77.213933,28.464286,77.168539,2025-08-31,12:13:08,1536.0,39.0,Delivered,8.078,Delhi,Metro
ORD0033,DP0226,41,2.8,28.652723,77.393334,28.634509,77.500923,2024-07-01,20:11:35,416.0,49.0,Delivered,10.693,Delhi,Metro
ORD0034,DP0078,32,4.4,19.325456,72.665213,19.244818,72.710959,2025-07-27,14:26:45,200.0,40.0,Delivered,10.171,Mumbai,Metro
ORD0035,DP0297,42,5.0,13.16377,80.375582,13.195104,80.473514,2024-05-06,18:00:22,747.0,70.0,Returned,11.161,Chennai,Metro
ORD0036,DP0019,28,4.6,28.894856,77.380511,28.956999,77.472594,2025-07-08,10:11:23,179.0,61.0,Delivered,11.316,Delhi,Metro
ORD0037,DP0146,30,4.3,12.936318,77.699283,12.851549,77.611016,2024-03-01,12:26:58,486.0,63.0,Delivered,13.431,Bengaluru,Metro
ORD0038,DP0006,32,4.6,28.811919,77.074815,28.856694,77.140554,2025-03-14,14:58:02,107.0,34.0,Delivered,8.111,Delhi,Metro
ORD0039,DP0013,18,4.1,18.797131,73.073093,18.857424,73.120081,2025-06-12,14:21:25,166.0,34.0,Delivered,8.331,Mumbai,Metro
ORD0040,DP0230,31,4.8,28.478371,77.303811,28.563812,77.331084,2025-03-03,13:04:23,482.0,,Cancelled,9.867,Delhi,Metro
ORD0041,DP0302,18,4.4,28.568353,76.720241,28.557279,76.790924,2025-10-01,07:14:36,704.0,35.0,Delivered,7.012,Delhi,Metro
ORD0042,DP0111,31,4.9,28.582763,77.369303,28.56927,77.410375,2024-04-10,11:10:44,474.0,18.0,Delivered,4.282,Delhi,Metro
ORD0043,DP0334,30,4.2,28.99832,77.154569,28.89979,77.155554,2025-06-07,13:44:16,387.0,29.0,Delivered,10.956,Delhi,Metro
ORD0044,DP0249,27,3.8,19.409564,72.867089,19.375582,72.929425,2025-02-05,17:22:16,340.0,32.0,Delivered,7.552,Mumbai,Metro
ORD0045,DP0386,32,3.6,28.546037,77.167341,28.508006,77.229324,2025-02-12,13:02:18,149.0,29.0,Delivered,7.386,Delhi,Metro
ORD0046,DP0012,30,4.2,28.37991,76.935382,28.277976,77.019384,2024-03-24,09:19:03,254.0,70.0,Delivered,14.003,Delhi,Metro
ORD0047,DP0251,31,3.5,28.499078,77.233315,28.548155,77.356519,2025-05-07,13:41:34,304.0,47.0,Delivered,13.216,Delhi,Metro
ORD0048,DP0319,26,4.0,17.426405,78.536185,17.50184,78.523671,2024-11-01,22:59:20,880.0,34.0,Delivered,8.492,Hyderabad,Metro
ORD0049,DP0380,29,4.4,18.677588,72.814379,18.722441,72.709562,2025-05-30,16:26:16,534.0,52.0,Delivered,12.114,Mumbai,Metro
ORD0050,DP0097,33,4.7,13.147224,77.697122,13.1224,77.699096,2024-07-05,14:57:05,122.0,19.0,Delivered,2.769,Bengaluru,Metro
ORD0051,DP0310,28,5.0,28.801012,77.422528,28.92061,77.418867,2025-05-25,12:08:55,527.0,57.0,Delivered,13.303,Delhi,Metro
ORD0052,DP0287,29,3.9,12.85916,80.276112,12.821944,80.380418,2024-02-28,20:35:00,321.0,47.0,Delivered,12.042,Chennai,Metro
ORD0053,DP0244,36,3.8,19.154669,72.589548,19.216417,72.624155,2025-01-07,20:05:07,261.0,,Cancelled,7.769,Mumbai,Metro
ORD0054,DP0231,18,4.6,12.996441,77.618936,12.99007,77.660189,2025-02-09,21:08:04,644.0,27.0,Delivered,4.525,Bengaluru,Metro
ORD0055,DP0314,37,4.8,17.24058,78.578947,17.153245,78.572587,2024-09-27,19:49:47,864.0,51.0,Delivered,9.735,Hyderabad,Metro
ORD0056,DP0223,25,3.5,13.230631,80.207231,13.267907,80.205951,2025-01-03,14:09:00,806.0,26.0,Delivered,4.147,Chennai,Metro
ORD0057,DP0182,42,3.6,28.823506,77.479414,28.854761,77.467736,2024-09-19,20:05:46,233.0,32.0,Delivered,3.657,Delhi,Metro
ORD0058,DP0368,27,4.7,18.691232,73.793863,18.628152,73.81746,2025-05-12,10:11:58,338.0,32.0,Delivered,7.442,Pune,Metro
ORD0059,DP0129,44,4.0,12.891515,77.34084,12.906755,77.414201,2025-10-07,18:29:27,530.0,45.0,Delivered,8.13,Bengaluru,Metro
ORD0060,DP0303,35,4.6,13.067325,80.180156,13.094105,80.117053,2025-02-08,21:35:58,831.0,46.0,Delivered,7.455,Chennai,Metro
ORD0061,DP0313,32,4.3,18.847163,72.57496,18.821071,72.614369,2024-10-14,11:44:16,300.0,19.0,Delivered,5.062,Mumbai,Metro
ORD0062,DP0327,23,4.3,22.625212,88.258894,22.68704,88.15077,2024-03-13,19:20:08,369.0,52.0,Delivered,13.052,Kolkata,Metro
ORD0063,DP0206,19,3.3,17.229308,78.337254,17.173101,78.231179,2025-06-07,21:17:09,194.0,60.0,Delivered,12.885,Hyderabad,Metro
ORD0064,DP0065,34,5.0,13.232704,80.443303,13.283835,80.343678,2024-12-10,09:26:55,182.0,65.0,Delivered,12.19,Chennai,Metro
ORD0065,DP0068,30,4.7,12.879275,77.6337,12.765994,77.626391,2024-04-29,20:30:06,742.0,56.0,Delivered,12.621,Bengaluru,Metro
ORD0066,DP0178,38,4.4,13.256543,80.236682,13.292282,80.330027,2025-07-04,11:44:35,1085.0,52.0,Delayed,10.856,Chennai,Metro
ORD0067,DP0263,35,4.0,13.111939,77.660133,13.036408,77.72234,2024-08-18,20:42:04,399.0,50.0,Delivered,10.767,Bengaluru,Metro
ORD0068,DP0334,30,3.6,22.654389,88.458572,22.585207,88.546949,2025-07-05,14:20:36,848.0,45.0,Delivered,11.894,Kolkata,Metro
ORD0069,DP0302,36,4.3,12.930763,77.784077,12.979275,77.900592,2024-08-10,08:12:23,541.0,64.0,Delivered,13.73,Bengaluru,Metro
ORD0070,DP0341,30,4.5,19.00389,72.664388,18.894007,72.646455,2024-02-26,11:13:32,267.0,40.0,Delivered,12.363,Mumbai,Metro
ORD0071,DP0303,34,4.7,13.007159,80.296881,12.98268,80.293209,2024-09-28,11:03:04,541.0,18.0,Delivered,2.751,Chennai,Metro
ORD0072,DP0017,31,4.4,28.63355,77.023375,28.611928,77.098417,2024-12-31,00:58:15,1233.0,33.0,Delivered,7.709,Delhi,Metro
ORD0073,DP0241,19,4.8,19.175703,72.598433,19.085015,72.59708,2024-07-16,12:17:42,410.0,43.0,Delivered,10.085,Mumbai,Metro
ORD0074,DP0121,19,3.4,28.527093,77.376875,28.582978,77.406003,2024-01-12,10:13:00,1256.0,24.0,Delivered,6.834,Delhi,Metro
ORD0075,DP0077,34,4.6,18.916223,73.016666,18.873004,72.963309,2025-05-03,13:09:37,67.0,29.0,Delivered,7.389,Mumbai,Metro
ORD0076,DP0354,33,4.3,13.22931,77.515611,13.238683,77.405164,2024-01-07,14:29:51,747.0,55.0,Delivered,12.0,Bengaluru,Metro
ORD0077,DP0098,30,4.8,28.634507,76.826106,28.686755,76.766586,2024-02-16,07:08:37,446.0,32.0,Delivered,8.215,Delhi,Metro
ORD0078,DP0310,25,4.4,28.416158,77.349029,28.356491,77.432652,2024-03-23,13:59:30,341.0,55.0,Delivered,10.533,Delhi,Metro
ORD0079,DP0185,33,4.3,28.387685,77.281247,28.456164,77.207875,2024-06-05,12:59:32,448.0,52.0,Delivered,10.463,Delhi,Metro
ORD0080,DP0376,35,3.2,13.095281,77.683371,13.135893,77.739061,2025-07-31,13:03:26,104.0,,Cancelled,7.534,Bengaluru,Metro
ORD0081,DP0297,31,3.7,18.798666,72.58923,18.861419,72.469845,2025-07-03,07:12:34,360.0,50.0,Delivered,14.372,Mumbai,Metro
ORD0082,DP0269,29,3.4,13.061844,77.340082,12.959652,77.328196,2024-12-24,13:24:56,539.0,40.0,Delivered,11.436,Bengaluru,Metro
ORD0083,DP0310,29,3.1,17.411592,78.748777,17.516852,78.732571,2024-02-11,10:01:32,1182.0,51.0,Delivered,11.83,Hyderabad,Metro
ORD0084,DP0226,38,4.2,17.297703,78.252628,17.40518,78.18965,2025-01-14,17:34:30,292.0,,Cancelled,13.693,Hyderabad,Metro
ORD0085,DP0018,35,5.0,28.573051,77.478705,28.553533,77.334647,2025-01-19,15:26:41,238.0,60.0,Delivered,14.235,Delhi,Metro
ORD0086,DP0013,31,4.2,18.743717,72.904346,18.706077,72.959001,2025-01-03,22:14:42,296.0,,Cancelled,7.117,Mumbai,Metro
ORD0087,DP0300,35,4.2,13.048676,80.45744,13.082988,80.389595,2025-08-18,10:02:19,797.0,30.0,Delivered,8.28,Chennai,Metro
ORD0088,DP0128,29,4.7,18.814591,72.702461,18.763508,72.823009,2025-05-18,19:46:52,529.0,61.0,Delivered,13.903,Mumbai,Metro
ORD0089,DP0361,33,3.6,12.970775,80.178382,13.028802,80.10385,2025-06-10,15:46:43,290.0,,Cancelled,10.336,Chennai,Metro
ORD0090,DP0065,28,4.3,13.008713,80.267062,12.993049,80.298053,2025-07-14,19:44:32,602.0,25.0,Delivered,3.783,Chennai,Metro
ORD0091,DP0010,34,4.4,13.116774,77.755589,13.228666,77.687131,2025-07-14,21:34:48,450.0,74.0,Delivered,14.482,Bengaluru,Metro
ORD0092,DP0039,24,4.6,19.286432,72.893222,19.305428,72.864546,2024-05-21,11:28:46,827.0,16.0,Delivered,3.677,Mumbai,Metro
ORD0093,DP0137,28,4.3,19.019726,73.054069,19.056934,73.087558,2024-05-19,22:33:46,257.0,26.0,Delivered,5.432,Mumbai,Metro
ORD0094,DP0202,32,4.6,12.977341,80.141303,13.075786,80.07878,2024-04-13,13:29:16,334.0,,Cancelled,12.873,Chennai,Metro
ORD0095,DP0388,29,4.8,12.765327,77.441479,12.750873,77.493693,2024-07-19,17:44:22,319.0,21.0,Delivered,5.886,Bengaluru,Metro
ORD0096,DP0094,32,5.0,18.544299,73.792039,18.45575,73.747182,2024-02-04,21:59:29,151.0,41.0,Delivered,10.923,Pune,Metro
ORD0097,DP0131,24,5.0,18.861966,72.574534,18.991139,72.594486,2025-05-15,20:39:01,517.0,64.0,Delivered,14.516,Mumbai,Metro
ORD0098,DP0231,32,4.3,28.425252,77.13822,28.436671,77.206937,2024-10-17,15:01:19,504.0,22.0,Delivered,6.838,Delhi,Metro
ORD0099,DP0181,36,4.3,22.564364,88.702949,22.644359,88.671374,2024-03-18,21:24:44,422.0,44.0,Delivered,9.467,Kolkata,Metro
ORD0100,DP0370,26,4.7,28.577003,76.822058,28.555811,76.740526,2024-05-27,00:01:29,356.0,18.0,Delivered,8.304,Delhi,Metro
ORD0101,DP0127,19,4.1,12.697589,77.520494,12.747537,77.587258,2025-05-08,08:24:01,156.0,54.0,Delivered,9.126,Bengaluru,Metro
ORD0102,DP0320,32,4.2,13.125584,77.673524,13.17797,77.783226,2025-06-25,07:00:50,313.0,63.0,Delayed,13.23,Bengaluru,Metro
ORD0103,DP0376,41,4.3,28.636605,77.207381,28.515798,77.184009,2024-05-11,10:41:46,330.0,62.0,Delivered,13.626,Delhi,Metro
ORD0104,DP0006,35,4.6,18.433691,73.774649,18.486575,73.869101,2025-05-07,19:21:26,240.0,51.0,Delivered,11.568,Pune,Metro
ORD0105,DP0097,35,4.5,13.15376,80.060293,13.046944,80.142036,2024-10-10,16:15:07,375.0,79.0,Delayed,14.814,Chennai,Metro
ORD0106,DP0299,34,2.9,22.801443,88.520223,22.682017,88.471468,2024-08-25,20:45:38,557.0,61.0,Delivered,14.19,Kolkata,Metro
ORD0107,DP0230,30,3.9,28.765529,77.428097,28.690596,77.310457,2024-11-08,19:10:20,1573.0,54.0,Delivered,14.178,Delhi,Metro
ORD0108,DP0032,34,4.5,17.329648,78.378679,17.245322,78.283611,2024-12-12,20:34:17,475.0,63.0,Delivered,13.777,Hyderabad,Metro
ORD0109,DP0118,30,4.9,19.1333,73.243692,19.050928,73.323456,2024-11-07,19:53:20,503.0,54.0,Delivered,12.415,Mumbai,Metro
ORD0110,DP0369,23,3.7,19.191941,72.756554,19.255453,72.766558,2025-04-25,00:04:47,399.0,31.0,Delivered,7.14,Mumbai,Metro
ORD0111,DP0373,26,4.5,13.251079,77.611208,13.299706,77.530804,2024-07-04,12:42:29,110.0,,Cancelled,10.245,Bengaluru,Metro
ORD0112,DP0277,30,3.7,18.968318,73.272829,19.025664,73.361042,2025-04-24,11:07:27,412.0,41.0,Delivered,11.255,Mumbai,Metro
ORD0113,DP0148,34,4.3,18.658362,73.708874,18.585252,73.72346,2025-08-01,11:58:55,438.0,34.0,Delivered,8.273,Pune,Metro
ORD0114,DP0086,30,4.5,13.091397,77.646141,13.138046,77.52729,2024-02-21,12:30:52,2356.0,53.0,Delivered,13.877,Bengaluru,Metro
ORD0115,DP0240,26,3.6,22.627788,88.168479,22.727681,88.09257,2024-10-14,11:53:44,367.0,41.0,Delivered,13.566,Kolkata,Metro
ORD0116,DP0400,31,5.0,28.815092,77.242184,28.897151,77.229656,2025-07-25,14:43:48,519.0,32.0,Delivered,9.206,Delhi,Metro
ORD0117,DP0220,31,4.4,19.235147,72.818442,19.280412,72.856487,2025-09-11,15:19:33,410.0,24.0,Delivered,6.425,Mumbai,Metro
ORD0118,DP0276,36,4.1,29.048901,77.061173,29.015025,77.166673,2024-04-29,07:11:56,185.0,42.0,Delivered,10.927,Delhi,Metro
ORD0119,DP0004,28,3.7,22.772403,88.615104,22.784828,88.70114,2024-10-10,13:26:24,935.0,34.0,Delivered,8.928,Kolkata,Metro
ORD0120,DP0352,19,5.0,17.582091,78.466507,17.647136,78.461456,2024-04-13,12:38:29,711.0,25.0,Delivered,7.252,Hyderabad,Metro
ORD0121,DP0060,30,4.0,18.926501,72.95338,18.906258,72.820333,2025-08-16,12:48:16,731.0,58.0,Delivered,14.175,Mumbai,Metro
ORD0122,DP0325,18,3.9,19.266943,72.976357,19.322054,72.863725,2024-08-30,12:27:58,222.0,45.0,Delivered,13.315,Mumbai,Metro
ORD0123,DP0149,23,4.7,28.539414,77.055775,28.593429,77.025485,2024-08-06,07:41:02,1121.0,32.0,Delivered,6.695,Delhi,Metro
ORD0124,DP0278,40,4.5,17.374316,78.290041,17.383298,78.237269,2024-01-10,00:51:19,157.0,23.0,Delivered,5.688,Hyderabad,Metro
ORD0125,DP0247,29,4.6,19.231282,72.752928,19.340127,72.712264,2024-02-29,11:34:12,633.0,44.0,Delivered,12.833,Mumbai,Metro
ORD0126,DP0165,30,4.6,28.57162,77.28667,28.655536,77.171215,2025-07-29,12:54:45,1946.0,32.0,Delivered,14.632,Delhi,Metro
ORD0127,DP0008,37,4.7,28.42098,77.206919,28.299268,77.253109,2025-08-02,14:58:28,210.0,58.0,Delivered,14.268,Delhi,Metro
ORD0128,DP0380,37,3.9,17.464615,78.349571,17.430787,78.478167,2025-10-11,14:13:29,283.0,40.0,Delivered,14.15,Hyderabad,Metro
ORD0129,DP0290,32,4.2,13.038134,80.264914,13.119615,80.235839,2025-10-01,12:01:06,450.0,48.0,Delivered,9.592,Chennai,Metro
ORD0130,DP0211,25,4.1,13.185819,80.464109,13.109026,80.3781,2025-06-13,21:45:50,295.0,52.0,Delivered,12.635,Chennai,Metro
ORD0131,DP0031,31,3.6,18.719052,73.838009,18.693539,73.816417,2024-02-27,23:12:22,142.0,20.0,Delivered,3.636,Pune,Metro
ORD0132,DP0247,27,5.0,28.912958,76.921134,28.858934,76.859854,2025-09-28,18:30:31,441.0,36.0,Delivered,8.467,Delhi,Metro
ORD0133,DP0378,30,3.7,12.998737,77.587033,12.951571,77.480727,2025-09-25,07:48:36,200.0,39.0,Delivered,12.657,Bengaluru,Metro
ORD0134,DP0153,36,4.6,13.065765,77.750378,12.97188,77.778111,2025-08-19,22:15:02,585.0,49.0,Delivered,10.863,Bengaluru,Metro
ORD0135,DP0092,25,3.8,12.760353,77.417873,12.634185,77.425099,2025-08-10,09:13:13,221.0,62.0,Delivered,14.051,Bengaluru,Metro
ORD0136,DP0302,23,4.1,18.535859,73.803749,18.516335,73.695263,2024-02-18,18:42:15,1243.0,43.0,Delivered,11.642,Pune,Metro
ORD0137,DP0365,40,3.5,13.287212,80.38738,13.416619,80.385155,2025-06-05,15:17:47,243.0,53.0,Delivered,14.391,Chennai,Metro
ORD0138,DP0161,41,3.3,28.638075,76.919483,28.708498,76.93912,2024-07-01,10:10:51,335.0,55.0,Delivered,8.062,Delhi,Metro
ORD0139,DP0095,21,4.9,28.853258,77.276094,28.836668,77.376935,2025-10-08,15:09:51,742.0,35.0,Delivered,9.994,Delhi,Metro
ORD0140,DP0333,31,2.9,12.885014,77.568021,12.93123,77.533363,2024-11-17,14:50:22,177.0,29.0,Delivered,6.366,Bengaluru,Metro
ORD0141,DP0163,40,4.2,19.182094,72.684677,19.238111,72.570613,2024-03-25,22:43:46,492.0,50.0,Delayed,13.5,Mumbai,Metro
ORD0142,DP0204,24,4.2,19.110565,72.5416,19.213262,72.570102,2024-02-22,21:21:19,1049.0,53.0,Delivered,11.805,Mumbai,Metro
ORD0143,DP0145,40,3.6,13.005353,80.227763,13.130898,80.251048,2024-11-10,15:15:15,136.0,63.0,Delivered,14.186,Chennai,Metro
ORD0144,DP0011,25,4.0,12.751676,77.584563,12.719725,77.551093,2024-10-30,13:59:28,478.0,,Cancelled,5.079,Bengaluru,Metro
ORD0145,DP0184,28,4.0,13.046091,77.322579,12.984249,77.255308,2025-05-20,13:17:01,504.0,42.0,Delivered,10.02,Bengaluru,Metro
ORD0146,DP0240,39,3.6,28.885182,77.295827,28.838202,77.318134,2025-09-08,14:45:26,726.0,24.0,Delivered,5.658,Delhi,Metro
ORD0147,DP0278,29,4.1,17.57415,78.542732,17.553501,78.575442,2024-06-30,11:08:47,177.0,21.0,Delivered,4.159,Hyderabad,Metro
ORD0148,DP0056,33,3.4,28.71143,77.40759,28.619772,77.510607,2024-11-20,20:22:21,167.0,59.0,Delivered,14.314,Delhi,Metro
ORD0149,DP0344,32,4.9,12.855124,77.600643,12.974431,77.568496,2025-05-02,23:53:25,605.0,46.0,Delivered,13.716,Bengaluru,Metro
ORD0150,DP0335,47,4.2,12.938601,80.282177,12.860461,80.316635,2024-07-30,17:27:37,517.0,37.0,Delivered,9.457,Chennai,Metro
ORD0151,DP0143,38,4.5,28.451182,76.952632,28.515417,76.951727,2025-02-04,19:59:41,500.0,43.0,Delivered,7.143,Delhi,Metro
ORD0152,DP0028,30,4.4,18.876116,72.778253,18.793874,72.712518,2024-04-14,14:10:34,535.0,63.0,Returned,11.467,Mumbai,Metro
ORD0153,DP0061,31,4.2,18.587028,73.985431,18.610825,73.911505,2025-08-12,15:59:15,261.0,31.0,Delivered,8.228,Pune,Metro
ORD0154,DP0358,36,3.5,18.759845,72.771585,18.844322,72.674521,2024-11-26,00:53:34,494.0,52.0,Delivered,13.879,Mumbai,Metro
ORD0155,DP0219,33,4.3,17.438546,78.391559,17.336908,78.361681,2025-02-05,09:41:26,516.0,77.0,Delivered,11.738,Hyderabad,Metro
ORD0156,DP0068,37,4.5,18.423852,74.040158,18.44949,74.075474,2025-09-17,17:48:48,255.0,25.0,Delivered,4.691,Pune,Metro
ORD0157,DP0232,41,4.4,13.037693,80.34497,13.046127,80.209787,2024-07-10,17:57:52,1550.0,50.0,Delivered,14.674,Chennai,Metro
ORD0158,DP0018,32,4.8,12.697446,77.627077,12.822064,77.584874,2024-02-03,20:11:10,585.0,64.0,Delivered,14.593,Bengaluru,Metro
ORD0159,DP0187,30,4.8,13.032164,80.092225,13.054968,80.146566,2024-06-16,22:24:54,182.0,32.0,Delivered,6.409,Chennai,Metro
ORD0160,DP0292,23,5.0,28.838314,77.066106,28.82248,77.060809,2024-09-05,19:58:48,665.0,15.0,Delivered,1.835,Delhi,Metro
ORD0161,DP0125,37,4.7,28.542668,76.832649,28.411124,76.826396,2024-06-03,13:59:49,212.0,55.0,Delivered,14.64,Delhi,Metro
ORD0162,DP0226,26,4.2,28.369897,77.126882,28.316138,77.243086,2025-01-23,19:58:55,729.0,48.0,Delivered,12.848,Delhi,Metro
ORD0163,DP0196,33,4.5,28.742989,77.154855,28.68396,77.21104,2024-04-15,08:24:49,945.0,47.0,Delivered,8.55,Delhi,Metro
ORD0164,DP0380,29,4.1,13.024884,77.659619,12.968614,77.651762,2024-11-26,22:06:24,236.0,22.0,Delivered,6.315,Bengaluru,Metro
ORD0165,DP0198,40,3.6,12.875399,77.400584,12.870043,77.450248,2025-01-17,22:37:00,824.0,37.0,Delayed,5.416,Bengaluru,Metro
ORD0166,DP0179,24,4.0,12.757226,77.686418,12.840204,77.617726,2024-01-14,14:38:19,561.0,41.0,Delivered,11.858,Bengaluru,Metro
ORD0167,DP0184,39,3.9,12.911824,77.372973,12.939231,77.409952,2024-12-27,10:39:35,747.0,24.0,Delivered,5.035,Bengaluru,Metro
ORD0168,DP0124,25,4.1,19.063999,73.184309,19.085895,73.146695,2025-05-14,08:17:55,1584.0,32.0,Delivered,4.642,Mumbai,Metro
ORD0169,DP0315,37,4.5,22.609207,88.398627,22.571792,88.508382,2024-10-30,13:13:01,354.0,56.0,Delivered,12.011,Kolkata,Metro
ORD0170,DP0038,38,3.7,22.711589,88.41014,22.81477,88.356513,2025-04-20,22:56:00,248.0,47.0,Delivered,12.723,Kolkata,Metro
ORD0171,DP0035,29,4.7,12.894477,80.354879,12.823035,80.34847,2024-10-29,11:55:38,225.0,33.0,Delivered,7.974,Chennai,Metro
ORD0172,DP0113,35,4.8,18.517585,73.754291,18.480695,73.665292,2024-12-06,11:00:05,237.0,37.0,Delivered,10.242,Pune,Metro
ORD0173,DP0275,21,4.0,13.133975,77.594205,13.144649,77.652724,2024-09-28,20:34:21,398.0,34.0,Delivered,6.447,Bengaluru,Metro
ORD0174,DP0335,52,3.5,18.612773,73.927793,18.560309,73.95134,2025-08-03,12:31:44,533.0,26.0,Delivered,6.34,Pune,Metro
ORD0175,DP0079,26,4.4,28.766244,77.453381,28.868639,77.441673,2024-03-02,20:12:52,510.0,52.0,Delivered,11.443,Delhi,Metro
ORD0176,DP0104,24,5.0,17.186323,78.448575,17.160145,78.419171,2025-02-04,08:20:29,749.0,27.0,Delivered,4.27,Hyderabad,Metro
ORD0177,DP0254,26,3.3,13.123361,77.80858,13.242134,77.828338,2024-03-07,19:18:40,424.0,53.0,Delivered,13.379,Bengaluru,Metro
ORD0178,DP0150,40,4.2,18.401647,73.748834,18.479503,73.74204,2025-04-28,13:34:53,1162.0,42.0,Delivered,8.687,Pune,Metro
ORD0179,DP0102,33,3.7,28.798191,76.746572,28.905155,76.803493,2025-02-08,14:24:19,349.0,,Cancelled,13.122,Delhi,Metro
